Proveedor,Texto breve material,CATEGORIA,CEDIS MOTOS,SUCURSAL,Centro,Almacén,IMEI/SERIE,Suma de Libre utilización,Suma de Valor libre util.,Suma de Bloqueado,Suma de Valor stock bloq.,Suma de Inspecc.de calidad,Suma de Valor en insp.cal.
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS TAB PXGL,MACROPAY VERACRUZ CD ISLA RAUL SANDOVAL,1760,10,MD2C19BX4TWJ50956,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS TAB PXGL,MACROPAY VERACRUZ CD ISLA RAUL SANDOVAL,1760,10,MD2C19BX4TWJ51069,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS TAB PXGL,MACROPAY VERACRUZ CD ISLA RAUL SANDOVAL,1760,10,MD2C19BX8TWJ50958,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS CDMX,MACROPAY CDMX PARQUE ALAMEDA L B21,1700,10,MD2C19BX1TWJ54236,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS CDMX,MACROPAY CUAU CENTELLA L37,1302,10,MD2C19BX7TWJ54239,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS CDMX,MACROPAY IXMIQUILPAN PLAZA LNL29,1257,10,MD2C19BX7TWJ54242,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS CDMX,MACROPAY LOS REYES CENTRO TEPOZAN LC24,1783,10,MD2C19BX5TWJ54238,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS CDMX,MACROPAY LOS REYES CENTRO TEPOZAN LC24,1783,10,MD2C19BXXTWJ54204,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS CDMX,MACROPAY NAUCALPAN ING MILITARES,1790,10,MD2C19BX3TWJ51791,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS CDMX,MACROPAY NEZAHUALCOYOTL SORIANA L15,1406,10,MD2C19BX2TWJ51202,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS CDMX,MACROPAY NICOLAS ROMERO TOWNCENTER LB06,1432,10,MD2C19BX8TWJ54203,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS CDMX,MACROPAY ORIZABA NORTE 4 ESQ OTE 3,1881,10,MD2C19BX7TWJ54211,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS CDMX,MACROPAY TOLUCA HIDALGO MOTOS,1747,10,MD2C19BX9TWJ54209,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS CDMX,MACROPAY TOLUCA MIGUEL HIDALGO,1725,10,MD2C19BX3TWJ54240,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS GDL,MACROPAY ZAPOTLANEJO PORFIRIO DIAZ,1517,10,MD2C19BXXTWJ51206,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS GDL,MACROPAY ZIHUATANEJO CENTRO,1853,10,MD2C19BX5TWJ54210,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS MID,MACROPAY PROGRESO MOTOS CALLE 27,1934,10,MD2C19BX5TWJ53946,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS MID,MACROPAY VALLADOLID MOTOS CALLE 39,1748,10,MD2C19BX4TWJ54179,1,$29567.33,0,$0,0,0
