Proveedor,Texto breve material,CEDIS MOTOS,SUCURSAL,Centro,Almacén,IMEI/SERIE,Suma de Libre utilización,Suma de Valor libre util.,Suma de Bloqueado,Suma de Valor stock bloq.,Suma de Inspecc.de calidad,Suma de Valor en insp.cal.
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS TAB PXGL,MACROPAY MINATITLAN MIGUEL HID MOTOS,1827,10,MD2B54DX0TCK82808,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS TAB PXGL,MACROPAY TEAPA GREGORIO,1124,10,MD2B54DXXTCK82802,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, NEGRO",CEDIS CDMX,MACROPAY CDMX CHEDRAUI ANFORA L20,1473,10,MD2B54DX2TCA96867,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, NEGRO",CEDIS CDMX,MACROPAY CIUDAD CARDEL CENTRO,1906,10,MD2B54DX6TCA96838,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, NEGRO",CEDIS CDMX,MACROPAY IZUCAR PLAZA L6,1555,10,MD2B54DX4TCA96837,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, NEGRO",CEDIS CDMX,MACROPAY LOS REYES CENTRO TEPOZAN LC24,1783,10,MD2B54DX6TCA96869,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, NEGRO",CEDIS CDMX,MACROPAY VER CENTRO HIDALGO,1883,10,MD2B54DX9TCA96834,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, NEGRO",CEDIS CDMX,MACROPAY VER CENTRO INDEPENDENCIA,1897,10,MD2B54DX4TCA96840,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, NEGRO",CEDIS CDMX,MACROPAY VERACRUZ AV MATAMOROS NORTE,1721,10,MD2B54DX0TCA96835,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, NEGRO",CEDIS CDMX,MACROPAY ZACATELCO INDEPENDENCIA,1201,10,MD2B54DX8TCA96839,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, NEGRO",CEDIS CDMX,MACROPAY ZUMPANGO AV INSURGENTES,1813,10,MD2B54DX6TCA96841,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, NEGRO",CEDIS TAB PXGL,MACROPAY COMALCALCO REFORMA,1218,10,MD2B54DX0TCA96849,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, NEGRO",CEDIS TAB PXGL,MACROPAY JUCHITAN 16 DE SEPTIEMBRE,1146,10,MD2B54DX1TCA96844,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, PERLA",CEDIS CDMX,MACROPAY ECATEPEC PUERTA ARAGON L 21,1726,10,MD2B54DX0TCK80993,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, PERLA",CEDIS CDMX,MACROPAY JOJUTLA CENTRO,1854,10,MD2B54DX3TCK81197,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, PERLA",CEDIS CULIACAN,MACROPAY CD OBREGON CENTRO,1891,10,MD2B54DX7TCK81042,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, PERLA",CEDIS CULIACAN,MACROPAY CULIACAN EXPLANADA L33A,1848,10,MD2B54DX7TCK81039,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, PERLA",CEDIS CULIACAN,MACROPAY DURANGO CENTRO B JUAREZ,1864,10,MD2B54DX5TCK81041,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, PERLA",CEDIS CULIACAN,MACROPAY GUAYMAS CENTRO 112,1882,10,MD2B54DX3TCK81037,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, PERLA",CEDIS GDL,MACROPAY APATZINGAN CENTRO ANDRADE,1832,10,MD2B54DX0TCK81254,1,$35615.33,0,$0,0,0
